Код товара,Номенклатура / Сеть,Группа,Марка,Тип товара,Февраль 2022,Март 2022,Апрель 2022,Май 2022,Июнь 2022,Июль 2022,Август 2022,Сентябрь 2022,Октябрь 2022,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023
CCHCLD-000005,"Горячий шоколад Кокая Классик Браун, 1 кг",Шоколад Горячий,DARBOVEN,Молотый,1500,1620,1720,500,507,601,1660,1624,1622,1627,1800,1900,1700,1650,1620,1500,510,600,700,1023,1200,1400
ANDSHR-000008,"ANDSHR-000008 3323324000 ТАБЛЕТКИ ДЛЯ ПРОЧИСТКИ WMF1,3G",Чистящее средство,WMF,Кофейная система,225,163,277,183,244,260,283,211,263,300,571,946,641,535,779,603,346,1178,676,385,282,354
ANDSHR-000025,ANDSHR-000025 3306836000 WMF ср-во очистки молочной системы 1 литр,Чистящее средство,WMF,Молочная система,124,89,277,133,99,135,161,88,41,195,223,226,224,183,143,128,166,135,251,176,145,201
