Департамент,Артикул,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07-forecast_lower,2025-07-forecast_mean,2025-07-forecast_upper,2025-08-forecast_lower,2025-08-forecast_mean,2025-08-forecast_upper,2025-09-forecast_lower,2025-09-forecast_mean,2025-09-forecast_upper,2025-10-forecast_lower,2025-10-forecast_mean,2025-10-forecast_upper,last_123_days_sum,forecast_123_days_mean,forecast_123_days_lower,forecast_123_days_upper
АТ Москва,CIMPCH-000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000044,1016,1641,1995,1593,1531,2233,378,438,203,385,20,196,30,88,275,0,0,0,0,0,0,0,0,0,0,0,1287,0,42,1350,0,12,1279,0,5,1313,0,38,0,5229
АТ Москва,CIMPCH-000045,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,528,0,0,513,0,21,517,0,69,581,0,105,0,2138
АТ Москва,CIMPCH-000053,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,886,0,21,902,0,219,1129,0,208,0,3819
АТ Москва,CIMPCH-000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000057,15,7,92,67,68,80,20,82,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,535,0,0,518,0,17,520,0,64,584,0,94,0,2157
АТ Москва,CIMPCH-000058,734,1223,850,613,782,934,392,659,713,753,806,278,392,569,312,528,429,492,198,341,370,425,409,385,0,358,2217,0,176,2035,0,327,2126,0,151,2010,1638,1012,0,8388
АТ Москва,CIMPCH-000059,362,584,454,570,449,482,453,409,574,715,696,693,716,786,764,873,690,887,559,625,640,683,546,565,0,831,3639,0,476,3284,0,552,3270,0,687,3495,2434,2546,0,13689
АТ Москва,CIMPCH-000060,721,947,784,980,773,1081,731,939,914,968,1028,992,866,914,1418,1215,1316,2055,750,1170,1336,1777,1603,1099,0,0,3422,0,0,3189,0,0,3031,0,0,3007,5926,0,0,12650
АТ Москва,CIMPCH-000061,1125,1506,1738,1508,1799,2097,1422,1650,1972,1945,2037,1707,1809,1958,2010,2765,1735,2062,1137,1666,1462,1715,1318,1293,0,1435,6754,0,1113,6432,0,1303,6450,0,1093,6412,5956,4944,0,26049
АТ Москва,CIMPCH-000062,4560,5358,5519,6070,5835,6726,4218,5405,5898,7167,5324,6185,6612,7121,6681,7482,6604,9603,5145,6321,6504,7295,6222,6580,0,8642,24390,0,6178,21926,0,7167,22407,0,7014,22762,27502,29001,0,91485
АТ Москва,CIMPCH-000063,79,28,52,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,482,0,0,463,0,12,465,0,54,521,0,75,0,1932
АТ Москва,CIMPCH-000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000067,0,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,659,0,1,644,0,21,643,0,66,709,0,104,0,2655
АТ Москва,CIMPCH-000068,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,478,0,21,507,0,219,721,0,208,0,2201
АТ Москва,CIMPCH-000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,552,0,27,576,0,9,540,0,7,556,0,46,0,2224
АТ Москва,CIMPCH-000074,3541,3845,4218,4306,4755,5043,3537,3155,4153,4182,4399,3120,3517,3772,3896,4047,4208,5162,2675,3703,2890,3931,3357,3553,1249,9501,17753,337,8589,16840,869,8854,16839,938,9190,17441,14406,36133,3393,68874
АТ Москва,CIMPCH-000075,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,135,1,0,0,0,1,0,0,3,588,0,27,612,0,10,575,0,7,592,1,47,0,2368
АТ Москва,CIMPCH-000076,1,0,0,0,148,0,0,0,0,12,0,0,0,0,0,0,3,49,0,0,0,0,0,0,0,14,477,0,2,465,0,20,469,0,56,520,0,92,0,1931
АТ Москва,CIMPCH-000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000082,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,316,0,9,305,0,29,315,0,78,374,4,137,0,1310
АТ Москва,CIMPCH-000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,91,242,0,0,130,0,0,141,296,447,598,3,513,0,1111
АТ Москва,CIMPCH-000084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,290,0,38,334,0,0,279,0,0,292,3,21,0,1194
АТ Москва,CIMPCH-000085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,91,242,0,0,130,0,0,141,296,447,598,3,513,0,1111
АТ Москва,CIMPCH-000087,1063,1151,1086,1105,1290,1428,846,1152,1092,1154,1240,1174,1158,955,1188,1171,923,1205,704,877,820,1079,915,1132,202,2694,5185,30,2522,5014,74,2486,4897,10,2501,4993,3987,10202,316,20089
АТ Москва,CIMPCH-000088,844,976,1135,1096,1124,1181,797,1257,1120,1163,1069,994,1171,1203,1181,1262,1363,1666,1283,1817,1504,1939,1650,1130,0,1754,5419,0,1207,4872,0,1121,4668,0,1545,5210,6471,5627,0,20170
АТ Москва,CIMPCH-000089,36,17,77,72,116,120,22,101,61,138,103,125,275,93,64,254,82,339,80,108,185,234,244,176,0,160,1100,0,135,1074,0,171,1080,0,135,1074,842,600,0,4329
АТ Москва,CIMPCH-000090,45,0,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,36,481,0,9,439,0,7,451,0,51,0,1814
АТ Москва,CIMPCH-000092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000094,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,506,0,33,540,0,6,498,0,17,525,4,54,0,2069
АТ Москва,CIMPCH-000095,0,0,1,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,2,0,1,0,3,1,0,0,489,0,31,533,0,9,495,0,0,496,5,21,0,2013
АТ Москва,CIMPCH-000103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,378,0,0,361,0,21,395,0,219,605,0,208,0,1739
АТ Москва,CIMPCH-000104,607,161,332,543,521,507,137,781,733,1621,457,1168,1066,572,801,1651,1539,1548,345,1213,1170,1056,643,1011,0,4116,9444,0,3882,9209,0,3853,9009,0,4617,9945,3962,16467,0,37606
АТ Москва,CIMPCH-000105,0,1,30,30,5,202,4,6,5,38,57,108,21,17,52,36,76,11,0,33,54,14,28,16,0,0,596,0,36,648,0,61,653,0,20,632,132,102,0,2529
АТ Москва,CIMPCH-000110,1933,1846,1383,1371,1227,1603,750,969,943,1025,863,590,775,302,757,353,399,71,312,479,287,502,214,224,0,265,3493,0,232,3460,0,58,3182,0,58,3286,1446,613,0,13421
АТ Москва,CIMPCH-000111,7,10,30,29,16,41,17,50,50,49,157,240,28,0,6,0,0,0,0,0,0,0,0,0,0,0,482,0,36,520,0,9,477,0,7,491,0,51,0,1970
АТ Москва,CIMPCH-000112,2,0,4,0,2,9,7,16,2,10,11,5,9,2,1,1,7,1,8,37,20,59,34,14,0,7,565,0,0,558,0,20,560,0,68,626,127,95,0,2308
АТ Москва,CIMPCH-000113,0,69,298,170,283,403,251,409,491,567,633,397,457,515,472,752,687,755,356,552,454,481,479,393,0,506,2300,0,578,2372,0,497,2233,0,420,2214,1824,2001,0,9119
АТ Москва,CIMPCH-000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000117,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,31,193,0,9,166,0,0,156,0,21,0,663
АТ Москва,CIMPCH-000118,0,0,0,0,0,0,0,0,0,0,6,12,0,0,1,43,24,144,0,0,1,0,0,0,0,0,515,0,33,554,0,7,511,0,17,538,1,51,0,2118
АТ Москва,CIMPCH-000119,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,165,0,31,209,0,9,181,0,0,171,3,21,0,726
АТ Москва,CIMPCH-000120,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,165,0,31,209,0,9,181,0,0,171,3,21,0,726
АТ Москва,CIMPCH-000121,0,0,0,0,0,0,0,0,0,0,10,3,22,150,142,203,181,248,100,207,209,173,36,1,0,29,1044,0,68,1084,0,169,1152,0,53,1069,454,318,0,4349
АТ Москва,CIMPCH-000122,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,151,0,33,190,0,6,158,0,17,174,3,50,0,673
АТ Москва,CIMPCH-000123,0,0,0,0,0,0,0,0,0,0,0,23,12,1,10,3,8,17,12,25,37,25,23,46,0,0,533,0,39,578,0,20,540,0,19,557,131,73,0,2207
АТ Москва,CIMPCH-000124,0,0,0,0,0,0,0,0,0,0,10,11,0,0,16,37,39,43,9,10,27,3,0,0,0,3,245,0,35,276,0,15,249,0,13,255,30,67,0,1026
АТ Москва,CIMPCH-000125,0,0,0,0,0,0,0,0,0,0,5,33,209,173,148,285,225,367,71,279,246,358,496,424,287,1198,2109,355,1266,2177,320,1202,2083,313,1223,2134,1551,4889,1275,8503
АТ Москва,CIMPCH-000126,0,0,0,0,0,0,0,0,0,0,0,12,9,5,4,5,4,0,0,0,0,11,4,3,0,15,215,0,39,239,0,12,206,0,25,225,18,91,0,885
АТ Москва,CIMPCH-000127,0,0,0,0,0,0,0,0,0,0,11,1,1,1,6,12,3,0,0,3,0,31,3,23,0,24,225,0,36,238,0,9,204,0,6,208,57,75,0,875
АТ Москва,CIMPCH-000128,0,0,0,0,0,0,0,0,0,0,10,1,46,13,8,11,3,0,2,0,28,3,0,0,0,0,550,0,33,588,0,6,544,0,17,573,31,50,0,2255
АТ Москва,CIMPCH-000129,0,0,0,0,0,0,0,0,0,0,0,18,11,5,4,0,3,2,0,0,0,3,0,2,0,0,161,0,33,198,0,7,166,0,17,182,5,53,0,706
АТ Москва,CIMPCH-000130,0,0,0,0,0,0,0,0,0,0,0,15,12,44,6,2,3,2,0,1,0,23,9,2,0,7,233,0,35,261,0,16,234,0,15,240,34,73,0,967
АТ Москва,CIMPCH-000131,0,0,0,0,0,0,0,0,0,0,0,27,0,6,7,0,5,24,0,0,0,1,0,0,0,3,178,0,26,202,0,8,178,0,7,182,1,44,0,740
