iter	RMSE
0	2.288131875
1	2.183112157
2	2.081887069
3	1.988303751
4	1.909110753
5	1.8289557
6	1.738630306
7	1.664389168
8	1.618803642
9	1.570276714
10	1.524979682
11	1.471658905
12	1.404873324
13	1.358906121
14	1.315144873
15	1.262754272
16	1.219262599
17	1.185235398
18	1.133349811
19	1.099767118
20	1.068426484
21	1.038970163
22	0.9946603807
23	0.958979136
24	0.918896128
25	0.8910181373
26	0.8647241811
27	0.8355755582
28	0.8112431497
29	0.7939341846
30	0.7725500822
31	0.7594853062
32	0.7361620513
33	0.7186172426
34	0.6985805136
35	0.6814059196
36	0.6654473628
37	0.6535604197
38	0.639873393
39	0.6195986592
40	0.6068348625
41	0.5892704021
42	0.5742168497
43	0.5666715435
44	0.5553898312
45	0.5446442455
46	0.5275088312
47	0.5127124602
48	0.5024464426
49	0.4915113526
50	0.4808289063
51	0.4710857029
52	0.4613296676
53	0.4496122213
54	0.4386393678
55	0.4266476804
56	0.4193406274
57	0.409397051
58	0.3989407568
59	0.3918739612
60	0.3832097504
61	0.3740650378
62	0.3660624041
63	0.3581497787
64	0.3522199055
65	0.3454226781
66	0.3391625788
67	0.3325720998
68	0.324871598
69	0.3195145891
70	0.3144001492
71	0.3064724623
72	0.3018288355
73	0.2946756669
74	0.2886407737
75	0.2831088914
76	0.2790758721
77	0.27417651
78	0.2702175815
79	0.2672001888
80	0.2643108926
81	0.2615440353
82	0.2570657237
83	0.2524901021
84	0.2493593751
85	0.2468081484
86	0.2443027009
87	0.2408005093
88	0.2369675917
89	0.2328400014
90	0.2305805306
91	0.2275369284
92	0.224931103
93	0.2228126201
94	0.2189515538
95	0.2168826461
96	0.215054693
97	0.2124797272
98	0.207950295
99	0.204328085
100	0.2002250613
101	0.1967926101
102	0.1936345477
103	0.1898959831
104	0.1873872752
105	0.1839421223
106	0.1810965441
107	0.178671403
108	0.1767840354
109	0.1740795827
110	0.1722614359
111	0.1705263338
112	0.1680005643
113	0.1656683803
114	0.1639912983
115	0.1619989749
116	0.1597164472
117	0.158094245
118	0.1550982266
119	0.1524515219
120	0.1493049379
121	0.1480446653
122	0.147147412
123	0.1439066155
124	0.1430561806
125	0.1400748792
126	0.1391413527
127	0.1364014202
128	0.1332889073
129	0.1308120563
130	0.1289546504
131	0.1283560623
132	0.1263589311
133	0.1257115801
134	0.1236201658
135	0.1207342915
136	0.1185506448
137	0.1171116896
138	0.1163417619
139	0.1148519062
140	0.1134547194
141	0.1128193731
142	0.1105155155
143	0.1085256683
144	0.1060894838
145	0.1037749322
146	0.101547544
147	0.09930112321
148	0.09704144502
149	0.09646947921
150	0.0946484092
151	0.09409988733
152	0.0935303692
153	0.09208279752
154	0.09163224726
155	0.09058419266
156	0.09001719766
157	0.08755159587
158	0.08673523273
159	0.08597189244
160	0.08553034277
161	0.08510853904
162	0.0841299194
163	0.08278747914
164	0.08151165382
165	0.07931804361
166	0.07893678797
167	0.07857274567
168	0.07739891281
169	0.07564785249
170	0.07503017952
171	0.07324805389
172	0.07267232714
173	0.07094905088
174	0.07022145157
175	0.06957417351
176	0.06932013548
177	0.06739872042
178	0.06715640143
179	0.06685603716
180	0.0666390836
181	0.06517425886
182	0.06491015298
183	0.06395139728
184	0.06370497394
185	0.06246415109
186	0.06227884663
187	0.06092987948
188	0.05934693894
189	0.05917512683
190	0.05792384297
191	0.05674184978
192	0.05563677283
193	0.05548490314
194	0.05526075935
195	0.05504673264
196	0.0539631589
197	0.05289436056
198	0.052693605
199	0.05244095451
200	0.05129183607
201	0.05083380777
202	0.04990804048
203	0.04925551319
204	0.04798051756
205	0.04758310438
206	0.04734768196
207	0.04651035056
208	0.04615143986
209	0.04577046333
210	0.04457144834
211	0.04436501423
212	0.04405490197
213	0.04386079055
214	0.04317185183
215	0.04265747047
216	0.04234373046
217	0.04169244767
218	0.0415098391
219	0.04122570517
220	0.04061016579
221	0.04034161507
222	0.03943888835
223	0.03919168768
224	0.03823076324
225	0.03795101024
226	0.03772329257
227	0.03756709272
228	0.03733555959
229	0.03678201806
230	0.03610411532
231	0.03595779055
232	0.03581973965
233	0.03555079154
234	0.03541390084
235	0.03481086725
236	0.03468896797
237	0.03400219911
238	0.03389248756
239	0.03324533133
240	0.03303553518
241	0.03233350782
242	0.03200378469
243	0.03190516635
244	0.03124109342
245	0.03095579765
246	0.03077171192
247	0.03030372291
248	0.03004566773
249	0.02987481397
250	0.02930272962
251	0.02914255393
252	0.02890719314
253	0.02833058982
254	0.02822343038
255	0.0280054006
256	0.02774316772
257	0.02727870941
258	0.02717397141
259	0.02692948037
260	0.02668942991
261	0.02617003209
262	0.02607817429
263	0.0258487344
264	0.02543330356
265	0.02534870526
266	0.02506572951
267	0.02486124968
268	0.02467914922
269	0.02393707445
270	0.02333609444
271	0.02326586121
272	0.02315076389
273	0.02250630057
274	0.02237900317
275	0.02221846899
276	0.02203621916
277	0.02151131418
278	0.02134289918
279	0.02098911917
280	0.02069607302
281	0.02053586392
282	0.02020850458
283	0.01968489437
284	0.01928606714
285	0.01897452529
286	0.01893862128
287	0.01857574996
288	0.01854135246
289	0.01824768067
290	0.01796066118
291	0.01770774697
292	0.01757418843
293	0.0173604638
294	0.01713453132
295	0.01684910606
296	0.01680027951
297	0.01649812903
298	0.01625910177
299	0.01610314823
